Geographic Area Name,industry,median_income,Gender
Maryland,Retail trade,41144,All
Massachusetts,Retail trade,52192,All
Michigan,Retail trade,37475,All
Minnesota,Retail trade,50066,All
Mississippi,Retail trade,30748,All
Missouri,Retail trade,36787,All
Montana,Retail trade,37505,All
Nebraska,Retail trade,40540,All
Nevada,Retail trade,37908,All
New Hampshire,Retail trade,44603,All
New Jersey,Retail trade,45252,All
New Mexico,Retail trade,33377,All
New York,Retail trade,43107,All
North Carolina,Retail trade,36710,All
North Dakota,Retail trade,41759,All
Ohio,Retail trade,38158,All
Oklahoma,Retail trade,32608,All
Oregon,Retail trade,40628,All
Pennsylvania,Retail trade,40504,All
Rhode Island,Retail trade,50763,All
South Carolina,Retail trade,37991,All
South Dakota,Retail trade,39742,All
Tennessee,Retail trade,36417,All
Texas,Retail trade,36225,All
Utah,Retail trade,42708,All
Vermont,Retail trade,40891,All
Virginia,Retail trade,39029,All
Washington,Retail trade,51355,All
West Virginia,Retail trade,32349,All
Wisconsin,Retail trade,41587,All
Wyoming,Retail trade,33705,All
Puerto Rico,Retail trade,22152,All
Alabama,"Transportation and warehousing, and utilities:",54991,All
Alaska,"Transportation and warehousing, and utilities:",72327,All
Arizona,"Transportation and warehousing, and utilities:",51896,All
Arkansas,"Transportation and warehousing, and utilities:",54869,All
California,"Transportation and warehousing, and utilities:",55686,All
Colorado,"Transportation and warehousing, and utilities:",61350,All
Connecticut,"Transportation and warehousing, and utilities:",62732,All
Delaware,"Transportation and warehousing, and utilities:",59322,All
District of Columbia,"Transportation and warehousing, and utilities:",71833,All
Florida,"Transportation and warehousing, and utilities:",47585,All
Georgia,"Transportation and warehousing, and utilities:",52351,All
Hawaii,"Transportation and warehousing, and utilities:",61805,All
Idaho,"Transportation and warehousing, and utilities:",50147,All
Illinois,"Transportation and warehousing, and utilities:",59434,All
Indiana,"Transportation and warehousing, and utilities:",51781,All
Iowa,"Transportation and warehousing, and utilities:",56815,All
Kansas,"Transportation and warehousing, and utilities:",55804,All
Kentucky,"Transportation and warehousing, and utilities:",51160,All
Louisiana,"Transportation and warehousing, and utilities:",56013,All
