Month,Boro,Community District,BC_SNAP_Recipients,BC_SNAP_Households
6/1/19,BRONX,B11,22585,13222
6/1/19,BRONX,B12,35595,19530
6/1/19,BROOKLYN,K01,49688,19692
6/1/19,BROOKLYN,K02,12707,8585
6/1/19,BROOKLYN,K03,42175,22689
6/1/19,BROOKLYN,K04,22898,13944
6/1/19,BROOKLYN,K05,60158,34349
6/1/19,BROOKLYN,K06,9682,6506
6/1/19,BROOKLYN,K07,20210,11920
6/1/19,BROOKLYN,K08,19179,12354
6/1/19,BROOKLYN,K09,19546,11936
6/1/19,BROOKLYN,K10,16134,9544
6/1/19,BROOKLYN,K11,34095,20231
6/1/19,BROOKLYN,K12,58535,19012
6/1/19,BROOKLYN,K13,30591,20465
6/1/19,BROOKLYN,K14,29212,17163
6/1/19,BROOKLYN,K15,26621,16639
6/1/19,BROOKLYN,K16,35639,19966
6/1/19,BROOKLYN,K17,28529,18165
6/1/19,BROOKLYN,K18,26792,16163
6/1/19,MANHATTAN,M01,2184,1770
6/1/19,MANHATTAN,M02,2775,2250
6/1/19,MANHATTAN,M03,35305,24217
6/1/19,MANHATTAN,M04,11315,8488
6/1/19,MANHATTAN,M05,5308,3716
6/1/19,MANHATTAN,M06,5011,4322
6/1/19,MANHATTAN,M07,15625,11779
6/1/19,MANHATTAN,M08,5254,4192
6/1/19,MANHATTAN,M09,20840,13742
6/1/19,MANHATTAN,M10,30804,19758
6/1/19,MANHATTAN,M11,40234,25354
6/1/19,MANHATTAN,M12,43400,29730
6/1/19,QUEENS,Q01,21293,12769
6/1/19,QUEENS,Q02,10293,6477
6/1/19,QUEENS,Q03,22617,13043
6/1/19,QUEENS,Q04,24024,14010
6/1/19,QUEENS,Q05,16965,9963
6/1/19,QUEENS,Q06,9651,6761
6/1/19,QUEENS,Q07,25006,16503
6/1/19,QUEENS,Q08,16797,10221
6/1/19,QUEENS,Q09,20207,11751
6/1/19,QUEENS,Q10,15042,9126
6/1/19,QUEENS,Q11,6333,4316
6/1/19,QUEENS,Q12,41373,25288
6/1/19,QUEENS,Q13,18224,11806
6/1/19,QUEENS,Q14,27909,15139
6/1/19,STATEN ISLAND,S01,35062,18683
6/1/19,STATEN ISLAND,S02,13599,8129
6/1/19,STATEN ISLAND,S03,9624,6142
9/1/19,BRONX,B01,41969,22681
9/1/19,BRONX,B02,20542,11318
9/1/19,BRONX,B03,39456,21518
9/1/19,BRONX,B04,52131,29095
9/1/19,BRONX,B05,50652,27772
9/1/19,BRONX,B06,36831,20036
9/1/19,BRONX,B07,42511,24395
9/1/19,BRONX,B08,15257,9177
9/1/19,BRONX,B09,49052,27111
9/1/19,BRONX,B10,16745,10288
9/1/19,BRONX,B11,22349,13099
9/1/19,BRONX,B12,35257,19366
9/1/19,BROOKLYN,K01,49470,19580
9/1/19,BROOKLYN,K02,12682,8554
9/1/19,BROOKLYN,K03,41664,22449
9/1/19,BROOKLYN,K04,22301,13700
9/1/19,BROOKLYN,K05,59488,34055
9/1/19,BROOKLYN,K06,9754,6511
9/1/19,BROOKLYN,K07,19654,11670
9/1/19,BROOKLYN,K08,18858,12226
9/1/19,BROOKLYN,K09,19295,11792
9/1/19,BROOKLYN,K10,15945,9491
9/1/19,BROOKLYN,K11,33279,19920
9/1/19,BROOKLYN,K12,58390,18865
9/1/19,BROOKLYN,K13,30178,20214
9/1/19,BROOKLYN,K14,28377,16880
9/1/19,BROOKLYN,K15,26162,16422
9/1/19,BROOKLYN,K16,35066,19827
9/1/19,BROOKLYN,K17,28160,18092
9/1/19,BROOKLYN,K18,26708,16132
9/1/19,MANHATTAN,M01,2163,1757
9/1/19,MANHATTAN,M02,2729,2218
9/1/19,MANHATTAN,M03,35323,24279
9/1/19,MANHATTAN,M04,11404,8557
9/1/19,MANHATTAN,M05,5525,3765
9/1/19,MANHATTAN,M06,4981,4305
9/1/19,MANHATTAN,M07,15501,11673
9/1/19,MANHATTAN,M08,5273,4203
9/1/19,MANHATTAN,M09,20553,13569
9/1/19,MANHATTAN,M10,30031,19299
9/1/19,MANHATTAN,M11,39946,25173
9/1/19,MANHATTAN,M12,42565,29289
9/1/19,QUEENS,Q01,20911,12642
9/1/19,QUEENS,Q02,10066,6364
9/1/19,QUEENS,Q03,21923,12716
9/1/19,QUEENS,Q04,23221,13626
9/1/19,QUEENS,Q05,16601,9792
9/1/19,QUEENS,Q06,9450,6680
9/1/19,QUEENS,Q07,24753,16435
9/1/19,QUEENS,Q08,16530,10122
9/1/19,QUEENS,Q09,19604,11469
9/1/19,QUEENS,Q10,14837,9019
9/1/19,QUEENS,Q11,6427,4371
9/1/19,QUEENS,Q12,40884,25104
9/1/19,QUEENS,Q13,18259,11836
9/1/19,QUEENS,Q14,27559,15003
9/1/19,STATEN ISLAND,S01,34943,18614
9/1/19,STATEN ISLAND,S02,13633,8100
9/1/19,STATEN ISLAND,S03,9591,6136
12/1/19,Bronx,B01,41728,22758
12/1/19,Bronx,B02,20343,11299
12/1/19,Bronx,B03,39004,21484
12/1/19,Bronx,B04,51190,28742
12/1/19,Bronx,B05,49830,27485
12/1/19,Bronx,B06,36902,20086
12/1/19,Bronx,B07,42103,24237
12/1/19,Bronx,B08,15151,9150
12/1/19,Bronx,B09,48932,27147
12/1/19,Bronx,B10,16891,10396
12/1/19,Bronx,B11,22177,13061
12/1/19,Bronx,B12,34989,19265
12/1/19,Brooklyn,K01,49148,19579
12/1/19,Brooklyn,K02,12650,8588
12/1/19,Brooklyn,K03,41282,22412
12/1/19,Brooklyn,K04,22119,13720
12/1/19,Brooklyn,K05,59297,34164
12/1/19,Brooklyn,K06,9957,6601
12/1/19,Brooklyn,K07,19437,11633
12/1/19,Brooklyn,K08,18676,12199
12/1/19,Brooklyn,K09,19106,11826
12/1/19,Brooklyn,K10,15953,9536
12/1/19,Brooklyn,K11,32613,19739
12/1/19,Brooklyn,K12,57528,18780
12/1/19,Brooklyn,K13,30142,20301
12/1/19,Brooklyn,K14,28006,16818
12/1/19,Brooklyn,K15,25827,16353
12/1/19,Brooklyn,K16,35182,19931
12/1/19,Brooklyn,K17,27917,18021
12/1/19,Brooklyn,K18,26473,16136
12/1/19,Manhattan,M01,2196,1789
12/1/19,Manhattan,M02,2663,2175
12/1/19,Manhattan,M03,34935,24025
12/1/19,Manhattan,M04,11355,8541
12/1/19,Manhattan,M05,5760,3856
12/1/19,Manhattan,M06,4922,4251
12/1/19,Manhattan,M07,15508,11621
12/1/19,Manhattan,M08,5230,4175
12/1/19,Manhattan,M09,20485,13541
12/1/19,Manhattan,M10,29268,18987
12/1/19,Manhattan,M11,39628,24927
12/1/19,Manhattan,M12,41909,29027
12/1/19,Queens,Q01,20858,12679
12/1/19,Queens,Q02,9719,6223
12/1/19,Queens,Q03,21352,12459
12/1/19,Queens,Q04,22755,13432
12/1/19,Queens,Q05,16369,9698
12/1/19,Queens,Q06,9293,6656
12/1/19,Queens,Q07,24785,16523
12/1/19,Queens,Q08,16234,10019
12/1/19,Queens,Q09,19386,11413
12/1/19,Queens,Q10,14696,8975
12/1/19,Queens,Q11,6486,4387
12/1/19,Queens,Q12,40518,24947
12/1/19,Queens,Q13,17978,11703
12/1/19,Queens,Q14,27394,14948
12/1/19,Staten Island,S01,34626,18479
12/1/19,Staten Island,S02,13737,8189
12/1/19,Staten Island,S03,9560,6142
3/1/20,Bronx,B01,41545,22736
3/1/20,Bronx,B02,20279,11294
3/1/20,Bronx,B03,39250,21694
3/1/20,Bronx,B04,50360,28414
3/1/20,Bronx,B05,49525,27397
3/1/20,Bronx,B06,36637,20047
3/1/20,Bronx,B07,41865,24217
3/1/20,Bronx,B08,15194,9190
3/1/20,Bronx,B09,48708,27052
3/1/20,Bronx,B10,16879,10411
3/1/20,Bronx,B11,22136,13061
3/1/20,Bronx,B12,34877,19262
3/1/20,Brooklyn,K01,49022,19574
3/1/20,Brooklyn,K02,12731,8649
3/1/20,Brooklyn,K03,40998,22347
3/1/20,Brooklyn,K04,21920,13739
3/1/20,Brooklyn,K05,59085,34172
3/1/20,Brooklyn,K06,9908,6592
3/1/20,Brooklyn,K07,19136,11555
3/1/20,Brooklyn,K08,18716,12293
3/1/20,Brooklyn,K09,19137,11873
3/1/20,Brooklyn,K10,15961,9573
3/1/20,Brooklyn,K11,32328,19687
3/1/20,Brooklyn,K12,57542,18790
3/1/20,Brooklyn,K13,30029,20314
3/1/20,Brooklyn,K14,27714,16800
3/1/20,Brooklyn,K15,25811,16391
3/1/20,Brooklyn,K16,35363,20091
3/1/20,Brooklyn,K17,27712,17932
3/1/20,Brooklyn,K18,26534,16181
3/1/20,Manhattan,M01,2201,1795
3/1/20,Manhattan,M02,2628,2146
3/1/20,Manhattan,M03,34830,23982
3/1/20,Manhattan,M04,11414,8584
3/1/20,Manhattan,M05,5592,3857
3/1/20,Manhattan,M06,4897,4224
3/1/20,Manhattan,M07,15570,11645
3/1/20,Manhattan,M08,5218,4164
3/1/20,Manhattan,M09,20339,13475
3/1/20,Manhattan,M10,28931,18788
3/1/20,Manhattan,M11,39350,24851
3/1/20,Manhattan,M12,41300,28799
3/1/20,Queens,Q01,20896,12771
3/1/20,Queens,Q02,9720,6212
3/1/20,Queens,Q03,21029,12324
3/1/20,Queens,Q04,22450,13300
3/1/20,Queens,Q05,16273,9685
3/1/20,Queens,Q06,9248,6653
3/1/20,Queens,Q07,24845,16613
3/1/20,Queens,Q08,16125,9969
3/1/20,Queens,Q09,19214,11370
3/1/20,Queens,Q10,14519,8898
3/1/20,Queens,Q11,6524,4431
3/1/20,Queens,Q12,40088,24661
3/1/20,Queens,Q13,17835,11660
3/1/20,Queens,Q14,27358,15004
3/1/20,Staten Island,S01,34592,18454
3/1/20,Staten Island,S02,13789,8187
3/1/20,Staten Island,S03,9553,6129
6/1/20,Manhattan,M01,2280,1807
6/1/20,Manhattan,M02,2912,2362
6/1/20,Manhattan,M03,37082,25467
6/1/20,Manhattan,M04,12539,9382
6/1/20,Manhattan,M05,6165,4171
6/1/20,Manhattan,M06,5326,4568
6/1/20,Manhattan,M07,16785,12440
6/1/20,Manhattan,M08,5758,4515
6/1/20,Manhattan,M09,22436,14766
6/1/20,Manhattan,M10,31343,20295
6/1/20,Manhattan,M11,42554,26742
6/1/20,Manhattan,M12,45712,31442
6/1/20,Bronx,B01,45637,24832
6/1/20,Bronx,B02,22420,12426
6/1/20,Bronx,B03,43317,23789
6/1/20,Bronx,B04,56155,31479
6/1/20,Bronx,B05,54815,30212
6/1/20,Bronx,B06,39679,21713
6/1/20,Bronx,B07,46703,26848
6/1/20,Bronx,B08,17567,10506
6/1/20,Bronx,B09,54171,29984
6/1/20,Bronx,B10,19215,11713
6/1/20,Bronx,B11,24988,14618
6/1/20,Bronx,B12,38867,21459
6/1/20,Brooklyn,K01,52201,21241
6/1/20,Brooklyn,K02,14123,9614
6/1/20,Brooklyn,K03,45155,24965
6/1/20,Brooklyn,K04,24696,15570
6/1/20,Brooklyn,K05,65389,37915
6/1/20,Brooklyn,K06,11010,7289
6/1/20,Brooklyn,K07,20917,12648
6/1/20,Brooklyn,K08,20630,13608
6/1/20,Brooklyn,K09,21313,13145
6/1/20,Brooklyn,K10,17758,10583
6/1/20,Brooklyn,K11,35284,21152
6/1/20,Brooklyn,K12,61108,20089
6/1/20,Brooklyn,K13,32014,21398
6/1/20,Brooklyn,K14,30806,18449
6/1/20,Brooklyn,K15,28044,17558
6/1/20,Brooklyn,K16,38889,22149
6/1/20,Brooklyn,K17,31527,20294
6/1/20,Brooklyn,K18,30261,18310
6/1/20,Queens,Q01,23598,14255
6/1/20,Queens,Q02,11059,6956
6/1/20,Queens,Q03,24106,13884
6/1/20,Queens,Q04,25613,14884
6/1/20,Queens,Q05,19173,11268
6/1/20,Queens,Q06,10437,7238
6/1/20,Queens,Q07,27266,17848
6/1/20,Queens,Q08,18376,11043
6/1/20,Queens,Q09,22539,13053
6/1/20,Queens,Q10,16714,10036
6/1/20,Queens,Q11,7279,4848
6/1/20,Queens,Q12,45667,27581
6/1/20,Queens,Q13,20743,13267
6/1/20,Queens,Q14,29808,16209
6/1/20,Staten Island,S01,38088,20244
6/1/20,Staten Island,S02,15293,8931
6/1/20,Staten Island,S03,10946,6853
6/1/22,Staten Island,S01,39760,21283
6/1/22,Staten Island,S02,16840,9730
6/1/22,Staten Island,S03,12360,7639
9/1/22,Manhattan,M01,1971,1531
9/1/22,Manhattan,M02,2992,2391
9/1/22,Manhattan,M03,38686,26374
9/1/22,Manhattan,M04,13395,10082
9/1/22,Manhattan,M05,4203,3471
9/1/22,Manhattan,M06,5522,4589
9/1/22,Manhattan,M07,17336,12774
9/1/22,Manhattan,M08,6478,4977
9/1/22,Manhattan,M09,23040,15173
9/1/22,Manhattan,M10,31314,20385
9/1/22,Manhattan,M11,43886,27588
9/1/22,Manhattan,M12,48245,33155
9/1/22,Bronx,B01,45640,25511
9/1/22,Bronx,B02,22883,12945
9/1/22,Bronx,B03,44046,24688
9/1/22,Bronx,B04,57356,33041
9/1/22,Bronx,B05,55413,31556
9/1/22,Bronx,B06,40438,22439
9/1/22,Bronx,B07,49368,28787
9/1/22,Bronx,B08,18820,11390
9/1/22,Bronx,B09,56900,31803
9/1/22,Bronx,B10,20962,12778
9/1/22,Bronx,B11,27058,15766
9/1/22,Bronx,B12,41733,23224
9/1/22,Brooklyn,K01,51498,21220
9/1/22,Brooklyn,K02,14125,9689
9/1/22,Brooklyn,K03,44606,24578
9/1/22,Brooklyn,K04,23967,15431
9/1/22,Brooklyn,K05,65810,38506
9/1/22,Brooklyn,K06,10827,7148
9/1/22,Brooklyn,K07,22841,14168
9/1/22,Brooklyn,K08,19622,13133
9/1/22,Brooklyn,K09,21440,13373
9/1/22,Brooklyn,K10,19324,11665
9/1/22,Brooklyn,K11,39946,23612
9/1/22,Brooklyn,K12,63906,21367
9/1/22,Brooklyn,K13,33305,22107
9/1/22,Brooklyn,K14,32840,19469
9/1/22,Brooklyn,K15,29929,18476
9/1/22,Brooklyn,K16,37145,21909
9/1/22,Brooklyn,K17,32532,21333
9/1/22,Brooklyn,K18,30102,18710
9/1/22,Queens,Q01,24756,15159
9/1/22,Queens,Q02,11759,7588
9/1/22,Queens,Q03,25191,14908
9/1/22,Queens,Q04,28040,16646
9/1/22,Queens,Q05,20830,12428
9/1/22,Queens,Q06,11579,7834
9/1/22,Queens,Q07,32740,21600
9/1/22,Queens,Q08,20494,12265
9/1/22,Queens,Q09,24956,14508
9/1/22,Queens,Q10,17900,10910
9/1/22,Queens,Q11,9003,5875
9/1/22,Queens,Q12,47201,28392
9/1/22,Queens,Q13,22212,14093
9/1/22,Queens,Q14,29914,16504
9/1/22,Staten Island,S01,39719,21203
9/1/22,Staten Island,S02,17267,9995
9/1/22,Staten Island,S03,12474,7744
12/1/22,Manhattan,M01,2025,1595
12/1/22,Manhattan,M02,3010,2412
12/1/22,Manhattan,M03,38800,26521
12/1/22,Manhattan,M04,13519,10143
12/1/22,Manhattan,M05,4361,3522
12/1/22,Manhattan,M06,5653,4696
12/1/22,Manhattan,M07,17222,12706
12/1/22,Manhattan,M08,6535,5019
12/1/22,Manhattan,M09,23014,15220
12/1/22,Manhattan,M10,31560,20520
12/1/22,Manhattan,M11,43752,27597
12/1/22,Manhattan,M12,48657,33458
12/1/22,Bronx,B01,46445,26134
12/1/22,Bronx,B02,23422,13240
12/1/22,Bronx,B03,44444,25105
12/1/22,Bronx,B04,58250,33662
12/1/22,Bronx,B05,56013,32027
12/1/22,Bronx,B06,41128,22877
12/1/22,Bronx,B07,49917,29100
12/1/22,Bronx,B08,19124,11612
12/1/22,Bronx,B09,57760,32349
12/1/22,Bronx,B10,21290,13010
12/1/22,Bronx,B11,27454,16096
12/1/22,Bronx,B12,42761,23728
12/1/22,Brooklyn,K01,51822,21392
12/1/22,Brooklyn,K02,14218,9791
12/1/22,Brooklyn,K03,45079,24714
12/1/22,Brooklyn,K04,24171,15522
12/1/22,Brooklyn,K05,66755,39112
12/1/22,Brooklyn,K06,10766,7120
12/1/22,Brooklyn,K07,23035,14230
12/1/22,Brooklyn,K08,20005,13338
12/1/22,Brooklyn,K09,21790,13555
12/1/22,Brooklyn,K10,19733,11883
12/1/22,Brooklyn,K11,41181,24216
12/1/22,Brooklyn,K12,65401,21745
12/1/22,Brooklyn,K13,34255,22626
12/1/22,Brooklyn,K14,33901,19943
12/1/22,Brooklyn,K15,31232,19148
12/1/22,Brooklyn,K16,37538,22101
12/1/22,Brooklyn,K17,33186,21725
12/1/22,Brooklyn,K18,30590,19002
12/1/22,Queens,Q01,25025,15323
12/1/22,Queens,Q02,11702,7586
12/1/22,Queens,Q03,25599,15096
12/1/22,Queens,Q04,28395,16912
12/1/22,Queens,Q05,20893,12491
12/1/22,Queens,Q06,11912,7990
12/1/22,Queens,Q07,33616,22181
12/1/22,Queens,Q08,20839,12555
12/1/22,Queens,Q09,25344,14751
12/1/22,Queens,Q10,18326,11169
12/1/22,Queens,Q11,9243,6036
12/1/22,Queens,Q12,48453,29010
12/1/22,Queens,Q13,22648,14327
12/1/22,Queens,Q14,30351,16763
12/1/22,Staten Island,S01,39923,21430
12/1/22,Staten Island,S02,17783,10311
12/1/22,Staten Island,S03,13059,8073
3/1/23,Bronx,B01,47852,27044
3/1/23,Bronx,B02,23795,13544
3/1/23,Bronx,B03,45613,25869
3/1/23,Bronx,B04,59326,34526
3/1/23,Bronx,B05,57265,32916
3/1/23,Bronx,B06,41780,23341
3/1/23,Bronx,B07,50687,29730
3/1/23,Bronx,B08,19500,11923
3/1/23,Bronx,B09,58939,33166
3/1/23,Bronx,B10,22067,13455
3/1/23,Bronx,B11,28177,16512
3/1/23,Bronx,B12,43737,24481
3/1/23,Brooklyn,K01,52621,21934
3/1/23,Brooklyn,K02,14788,10218
3/1/23,Brooklyn,K03,46414,25571
3/1/23,Brooklyn,K04,24823,15994
3/1/23,Brooklyn,K05,68706,40427
3/1/23,Brooklyn,K06,11093,7354
3/1/23,Brooklyn,K07,23768,14690
3/1/23,Brooklyn,K08,20631,13789
3/1/23,Brooklyn,K09,22557,14086
3/1/23,Brooklyn,K10,20519,12376
3/1/23,Brooklyn,K11,42588,24970
3/1/23,Brooklyn,K12,68156,22541
3/1/23,Brooklyn,K13,35393,23336
3/1/23,Brooklyn,K14,35390,20696
3/1/23,Brooklyn,K15,32869,19999
3/1/23,Brooklyn,K16,38726,22934
3/1/23,Brooklyn,K17,34737,22725
3/1/23,Brooklyn,K18,32108,19887
3/1/23,Manhattan,M01,2034,1557
3/1/23,Manhattan,M02,3136,2500
3/1/23,Manhattan,M03,39134,26833
3/1/23,Manhattan,M04,13971,10474
3/1/23,Manhattan,M05,4601,3689
3/1/23,Manhattan,M06,5938,4988
3/1/23,Manhattan,M07,17607,12995
3/1/23,Manhattan,M08,6750,5206
3/1/23,Manhattan,M09,23673,15706
3/1/23,Manhattan,M10,32257,21109
3/1/23,Manhattan,M11,44968,28413
3/1/23,Manhattan,M12,49855,34371
3/1/23,Queens,Q01,25903,15850
3/1/23,Queens,Q02,12307,7995
3/1/23,Queens,Q03,26477,15653
3/1/23,Queens,Q04,29377,17492
3/1/23,Queens,Q05,21597,12936
3/1/23,Queens,Q06,12439,8271
3/1/23,Queens,Q07,34894,23134
3/1/23,Queens,Q08,21612,12920
3/1/23,Queens,Q09,26270,15245
3/1/23,Queens,Q10,19036,11571
3/1/23,Queens,Q11,9562,6251
3/1/23,Queens,Q12,50109,30098
3/1/23,Queens,Q13,23430,14876
3/1/23,Queens,Q14,31366,17378
3/1/23,Staten Island,S01,41354,22254
3/1/23,Staten Island,S02,18554,10695
3/1/23,Staten Island,S03,13658,8389
