SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
268125437,5/11/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,70,993744,171879,40.63843962,-73.96579193,POINT (-73.96579193 40.63843962)
268197270,5/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,QUEENS,113,1044258,189029,40.685317,-73.78363,POINT (-73.78363 40.685317)
268178490,5/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BROOKLYN,69,1006773,170446,40.63448279,-73.91885161,POINT (-73.91885161 40.63448279)
268135752,5/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,0,MANHATTAN,33,1000669,243398,40.83473133,-73.94066574,POINT (-73.94066574 40.83473133)
268206527,5/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,34,1002443,248462,40.84862705,-73.93424121,POINT (-73.93424121 40.84862705)
268212936,5/13/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,WHITE HISPANIC,0,MANHATTAN,32,1000227,236101,40.814706,-73.942277,POINT (-73.942277 40.814706)
268275097,5/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BROOKLYN,79,999067,193149,40.696816,-73.946564,POINT (-73.946564 40.696816)
268357101,5/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,QUEENS,103,1042136,193123,40.69656543,-73.79124747,POINT (-73.79124747 40.69656543)
268357104,5/16/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,70,995356,176168,40.65021012,-73.95997663,POINT (-73.95997663 40.65021012)
268425680,5/17/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BROOKLYN,84,988740,194815,40.701399,-73.983806,POINT (-73.983806 40.701399)
268421954,5/17/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,QUEENS,103,1040897,196247,40.70514808,-73.79568935,POINT (-73.79568935 40.70514808)
268523827,5/19/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,84,988475,194830,40.70143906,-73.98476241,POINT (-73.98476241 40.70143906)
268579614,5/20/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,BROOKLYN,77,1001868,183705,40.67088696,-73.93648925,POINT (-73.93648925 40.67088696)
268576208,5/20/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,77,1003404,183595,40.67058184,-73.93095247,POINT (-73.93095247 40.67058184)
