Date,location,operator,planeType,Dead,Aboard,Ground,,,
10/6/27,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,2,0,,,
10/30/27,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,4,0,,,
11/16/27,"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,1,0,,,
11/16/27,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6,0,,,
11/29/27,"Corunna, Indiana",National Air Transport,Douglas M-4,1,1,0,,,
12/26/27,"Almeria, Spain",Aeropostale,Breguet 14,2,2,0,,,
12/28/27,"Abuerio, Spain",Aeropostale,Breguet 14,1,1,0,,,
12/31/27,"Near Marseille,France",Latecoere Airlines,Lat????co????re 23 (flying boat),5,5,0,,,
1/8/28,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,3,0,,,
1/16/28,"Solis, Uruguay",Aeropostale,Latecoere 25,2,2,0,,,
1/22/28,France,Aeropostale,Breguet 14,1,2,0,,,
1/22/28,"Tarragona, Spain",Aeropostale,Breguet 14,2,2,0,,,
1/27/28,"Almeria, Spain",Aeropostale,Breguet 14,1,1,0,,,
2/26/28,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,1,2,0,,,
3/3/28,"Rio de Janeiro, Brazil",?,?,10,10,0,,,
3/11/28,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,2,0,,,
4/17/28,"Federal, Wyoming",Boeing Air Transport,Boeing 40,1,2,0,,,
4/19/28,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,9,0,,,
5/7/28,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,Latecoere 26,1,1,0,,,
5/12/28,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,2,0,,,
5/26/28,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,3,5,0,,,
6/14/28,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,5,0,,,
6/22/28,"Lebo, Kansas",National Air Transport,Douglas M-4,1,1,0,,,
7/10/28,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6,0,,,
7/13/28,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4,4,0,,,
7/24/28,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1,6,0,,,
8/25/28,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,7,0,,,
