FY,EMPL,Tax ID,PS,PC,PZ,WS,OCC,Ind,Wage
2020,,7478,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,3168,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1706,KY,Mount Hermon,42157,KY,45,11,$12.00 - $13.99
2020,,1706,KY,Tompkinsville,42167,KY,45,11,$12.00 - $13.99
2020,,5517,LA,Jennings,70546,LA,45,11,$10.00 - $11.99
2020,,1819,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2298,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,5056,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,2948,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7533,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,6816,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,6436,GA,Douglas,31533,NC,45,11,$12.00 - $13.99
2020,,9634,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,9634,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9634,TN,Ooltewah,37363,TN,45,11,$12.00 - $13.99
2020,,2679,KY,Lexington,40508,IN,45,11,$14.00 - $15.99
2020,,5697,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,2674,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,8920,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1227,FL,Avon Park,33825,IN,45,11,$12.00 - $13.99
2020,,8582,KY,Lexington,40508,IN,45,11,$14.00 - $15.99
2020,,3023,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,624,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8775,KY,Lexington,40508,OH,45,11,$14.00 - $15.99
2020,,8083,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,9550,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,9550,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,5810,MT,Lewistown,59457,CA,45,11,$10.00 - $11.99
2020,,8347,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,4574,GA,Baxley,31513,GA,45,11,$10.00 - $11.99
2020,,4574,GA,Jesup,31545,GA,45,11,$10.00 - $11.99
2020,,5449,KY,Lexington,40508,TX,45,11,$12.00 - $13.99
2020,,3792,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,1363,GA,Jesup,31545,GA,45,11,$10.00 - $11.99
2020,,8550,FL,Ruskin,33570,GA,45,11,$10.00 - $11.99
2020,,7013,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,3010,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,8365,FL,Labelle,33935,FL,45,11,$10.00 - $11.99
2020,,8365,FL,Labelle,33935,FL,45,11,$10.00 - $11.99
2020,,2262,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,2466,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,3076,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,121,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,813,GA,Douglas,31533,NC,45,11,$12.00 - $13.99
2020,,2147,GA,Douglas,31533,AL,45,11,$10.00 - $11.99
2020,,9487,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,4597,KY,Princeton,42445,KY,45,11,$12.00 - $13.99
2020,,6770,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,8160,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,7869,WY,Casper,82601,UT,45,11,$9.99 and under
2020,,4115,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2691,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2931,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,6306,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,7630,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,3807,TN,Sevierville,37862,SD,45,11,$14.00 - $15.99
2020,,2316,CA,Sonoma,95476,CA,45,11,$14.00 - $15.99
2020,,1119,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7088,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,,CA,Encinitas,92024,NC,45,11,$12.00 - $13.99
2020,,,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,153 FARM INC,2585,AR,Stuttgart,72160,AR,45,11,$10.00 - $11.99
2020,1879 ROBINSON FARM LLC,5111,TX,Farmersville,75442,TX,45,11,$12.00 - $13.99
2020,1887 FARMS INC,9130,LA,Plaquemine,70764,LA,45,11,$10.00 - $11.99
2020,2 SISTERS CRAWFISH CO LLC,5516,LA,Plaucheville,71362,LA,45,11,$10.00 - $11.99
2020,20 MILE SHEEP LLC,4968,CO,Craig,81625,CO,45,11,$9.99 and under
2020,20 MILE SHEEP LLC,4968,CO,Craig,81625,CO,45,11,$9.99 and under
2020,21 ANGUS RANCH,9936,ND,New England,58647,ND,45,11,$14.00 - $15.99
2020,24/7 FARMS LLC,2906,ID,Caldwell,83607,ID,45,11,$12.00 - $13.99
