country,firearms per 100 persons,region,subregion,pop_2017,firearms in civilian possession,Computation method,registered firearms,unregistered firearms,
 Japan,0.3,Asia,East Asia,"126,045,000","377,000",2,"175,221","201,779",
 North Korea,0.3,Asia,East Asia,"25,405,000","76,000",3,N/A,N/A,
 Malawi,0.3,Africa,East Africa,"18,299,000","47,000",2,"12,500","34,500",
 Singapore,0.3,Asia,South-East Asia,"5,785,000","20,000",3,795,"19,205",
 East Timor,0.3,Asia,South-East Asia,"1,237,000","3,000",2,N/A,N/A,
 South Korea,0.2,Asia,East Asia,"50,705,000","79,000",2,"39,530","39,470",
 Solomon Islands,0.2,Oceania,Melanesia,"606,000","1,000",2,N/A,N/A,
 Christmas Island,0,Asia,South-East Asia,"2,000",–,2,N/A,N/A,
  Holy See,0,Europe,Southern Europe,"1,000",–,2,N/A,N/A,
 Indonesia,0,Asia,South-East Asia,"263,510,000","82,000",2,"41,102","40,898",
 Nauru,0,Oceania,Melanesia,"10,000",–,2,N/A,N/A,
 Taiwan,0,Asia,East Asia,"23,405,000","10,000",2,"5,000","5,000",
