Manufacturer,#_recalls
SUNROOFS ETC,1
SUNROOFS OF COLUMBIA,1
Sunset Park & RV Inc.,2
SUNSET TRUCK & VAN ACCES.,1
SUNSET VANS INC.,2
Suomy SPA,1
SUPER SEER CORPORATION,1
Super Test Corporation,1
"SUPER VACUUM MFG. CO., INC.",1
SUPERIOR COACH DIV,4
"SUPERIOR COACH INTERIORS, INC.",1
"SUPERIOR COACH INTL., LTD",2
SUPERIOR INDUSTRIES INTL,1
"SUPERIOR MANUFACTURING, INC.",1
SUPERIOR TRLR WORKS CORP.,3
SUPERLIFT SUSPENSION SYSTEMS,2
Supreme Corporation,27
"Sure Power, Inc.",4
SURE TIRE COMPANY,1
"SURE-LOK, INC.",1
SUSPENSION INTERNATIONAL PARTS,1
SUTPHEN CORP.,4
Sutphen Corporation,16
Sutrak USA,1
"Suzuki Motor USA, LLC",115
SVI Trucks,5
SVO Group Inc,2
"Swab Wagon Company, Inc.",1
SYMONS CORPORATION,1
Syncro Corporation,1
"SynTec Seating Solutions, LLC",5
T&E ENTERPRISES,1
Tactical Vehicle Outfitters,1
Tadano America Corporation,4
Taizhou Tianda Rope & Belt Co. Ltd,1
"Takata (TK Global, LLC)",27
"Talbert Manufacturing, Inc.",3
TAM-USA,1
"Tap Worldwide, LLC",15
"TARASPORT TRAILERS, INC.",1
Taylor Made Ambulances,2
Taylor-Dunn Manufacturing Company,1
TBC Corporation,7
"TBEI, INCORPORATED",2
Team Spirit Trailers of Elkhart,1
"TEAM-TEX AMERICA, INC",2
TECH INTERNATIONAL,1
TECH WELD CORPORATION,1
TECHNICAL CHEMICAL CO.,1
TECHNOLOGY RESEARCH CORPORATION,1
TECHWORKS INC.,2
"Tegol, Inc.",5
TEKONSHA ENGINEERING CO.,2
TELEFLEX MORSE,1
"TELMA RETARDER, INC.",1
"Temp-Air, a division of Sunbelt Rentals",2
TEMPLE PRODUCTS INC.,1
Temsa,27
Tenco Inc.,1
Tenneco Automotive,7
"Terex Advance Mixer, Inc.",17
Terex Aerial Work Platforms,3
Terex Environmental Equipment,1
TEREX LOAD KING,1
"Terex South Dakota, Inc.",58
"TEREX UTILITIES, INC.",1
Terminal Investment Corporation,1
Terran Axle LLC,1
TERRY POE AUTOMOTIVE,1
"Tesla, Inc.",59
TEST RITE PRODUCTS CORP.,1
TETON HOMES,4
Tex Trail Trailer Parts,1
TEXAS AUTO TOPS OF AUSTIN,1
TEXAS AUTO TRIM,1
TEXAS BUS SALES,2
TEXAS PRIDE TRAILERS,1
TEXTRON,1
THAYCO MANAFACTURING CO.,1
THE AUTO BOUTIQUE,1
"The Chamberlain Group, Inc.",1
"THE COAST DISTRIBUTION SYSTEM, INC.",1
THE CUSTOMIZERS INC.,2
THE FISHER GROUP INC.,1
The Gates Corporation,1
"The Holland Group, Inc.",1
THE LITTLE TRAILER COMPANY,1
THE NEW GOSHEN COACH CORP,1
The New Haven Companies,1
THE RIGHT START,1
The RV Factory LLC,1
The Toro Company,2
Thermo King Corp.,9
THEURER INC.,3
Thieman Tailgates,1
"THINK NORTH AMERICA, INC.",3
"THOMAS BUILT BUSES, INC.",111
"THOMAS DENNIS COMPANY, LLC",1
THOMPSON TANK & MFG. CO.,1
THOR AMERICA,4
"Thor California, Inc.",15
THOR INDUSTRIES,9
Thor Motor Coach,124
"Thorley Industries, LLC  -DBA 4Moms",1
"Three Feathers Manufacturing, LLC",1
THULE TOWING SYSTEMS LLC,2
"Thule, Inc.",8
THUMB TRUCK EQUIPMENT,1
THUNDERBIRD HEADQUARTERS,1
"TI Group Automotive Systems, LLC",3
TIARA MOTOR COACH DIVISION,7
TIE DOWN ENGINEERING,1
Tiffany Coach Builders,1
TIFFANY COACHWORKS,1
"Tiffin Motorhomes, Inc.",88
"TIGER TRAILERS, INC.",1
Tilting Motor Works,1
Timberland INC DBA Glacier,1
"TIMBERLINE TRAILERS, INC.",2
Timken Company,4
Timoney Technology,1
"Timpte, Inc.",11
Tiny Idahomes LLC,4
"Tireco, Inc.",2
"Tishomingo Acquisition, LLC",1
Titan Bus,1
TITAN COACHES,1
"TL INDUSTRIES, INC.",2
TM Industries,1
"TMC Group, Inc.",1
TODCO,1
TODCO DIVISION,1
TOKAI RIKA Co LTD,1
"TOM MOTORSPORT, INC.",1
TOMBERLIN AUTOMOTIVE GROUP,1
Tomy International (Learning Curve Brand,1
Tong Ho Hsing Industrial Co.,2
Tong Yang Industry Co.,1
TOP COVERAGE,1
"TOPS UNLIMITED, INC.",1
TOR Truck Company,1
TOURIG,1
"TowBlazer, Inc.",1
Toyne Inc.,4
"Toyo Tire Holdings of Americas, Inc.",6
TOYO TIRES U.S.A. CORP,1
Toyota Motor Corporation,82
Toyota Motor Engineering & Manufacturing,289
TRACKER MARINE L.P.,2
"Tracker Marine, LLC",25
TRADESONIC,1
TRADEWINDS CONVERSIONS,1
"Trail Boss Conversions, Inc.",3
TRAIL KING,3
"Trail King Industries, Inc.",18
"Trail-Rite, Inc.",1
TRAILBOSS TRAILERS INC,1
"Trailers by Dorsey, Inc.",5
Trailers USA Inc.,1
"Trailex, Inc.",1
"TRAILEX, LES REMORQUES DE RIMOUSKI INC",1
"TRAILITE, INC.",1
"TRAILMANOR, INC.",1
TRAILMASTER INC.,2
Trailmobile Canada Limited,23
"Trails West Manufacturing of Idaho, Inc.",7
Trailstar International Inc,2
"Trailstar Manufacturing, Inc.",1
TRAMEC CORPORATION,1
"Trans National Trading, Inc.",1
Trans Tech Bus,18
Trans Texas Tire,1
Trans-Air Manufacturing Corp.,15
TRANSAMERICAN ROOSEVELT,1
TRANSARCTIC CANADA INC.,1
Transcraft Corporation,7
"Transfer Flow Inc - Chico, CA",1
TRANSI-CORP.,1
TRANSIT BUS INTERNATIONAL,2
"TRANSIT MANUFACTURING,INC",4
TRANSPEC WORLDWIDE,1
"TRANSPORT DESIGNS, INC.",2
"TRANSPORT SYSTEMS, INC.",1
"TRANSPORT TRAILERS, INC.",1
"Transportation Collaborative, Inc.",13
TRANSPORTATION MFG. CORP.,17
TRANSPORTATION PARTS CO.,1
"Transportation Power, Inc.",1
"TRANSPORTATION PROD., INC",3
TRAVEL EQUIPMENT CORP.,7
"TRAVEL INDUSTRIES, INC.",1
Travel Lite RV,1
"TRAVEL SUPREME, INC.",9
TRAVEL UNITS INC.,3
"TRAVELEZE INDUSTRIES, INC.",1
"TRAVIS BODY & TRAILER, INC.",2
TRAVOY CORP.,4
Treadways Corporation,2
TREDIT TIRE & WHEEL CO INC,4
TREK BICYCLE CORPORATION,1
"Trek Tire, LLC",1
Tremcar,3
TRIAD MACK SALES,1
TRIAD TRAILERS LLC,1
"TRIANGLE SUSPENSION SYSTEMS, INC.",1
Triangle Tire USA,1
TRICO PRODUCTS CORP.,2
"TRIDON, INCORPORATED",1
TriMark Corporation,5
Triple E Recreational Vehicles,56
"Triple Play Products, LLC",1
TRIPLEX MANUFACTURING COMPANY,1
TRISTATE LEATHER,1
Triton Trailers LLC,1
"Triumph Motorcycles America, Ltd.",76
"TROLLEY ENTERPRISES, INC.",2
"Tropos Technologies, Inc.",2
TRUCK & AUTO ELEGANCE,1
Truck Equipment Service Company,4
"TRUCK PARTS & EQUIP.,INC.",1
"TRUCK SERVICES, INC.",1
TRUCK TRAILER EQUIP. CO.,1
TRUCK-LITE,1
"Truck-Lite Company, LLC",1
TruckCraft Corporation,1
TRUCKWELD EQUIP. CO.,1
"TRUXXX MANUFACTURING, LLC",1
"TRW Automotive, Inc.",15
TRW COMMERCIAL STEERING SYS.,4
TRW OCCUPANT SAFETY SYSTEMS,1
TSE Brakes,2
Tucker Rocky Distribution,8
"TUFF BOY, INC.",1
TUFF/LUGG EQUIPMENT MANUF.,1
"Turn5, Inc.",1
TURNER,1
TURNER AND SEYMOUR MFG CO,1
Turtle Top,31
TUTHILL TRANSPORT TECHNOLOGIES,6
TUTTLE MFG. CO.,1
TVR ENGINEERING LIMITED,1
"TYC INDUSTRIAL, USA",1
U-HAUL,1
U.S. BUS CORPORATION,21
U.S. CARGO,1
U.S. DRIVE RIGHT,2
U.S. ELECTRICAR CORP.,1
Ubco Bikes US LLC,1
UCI International LLC,11
UD Trucks Corporation,33
UFI FILTERS USA,2
UFP Distribution LLC,1
Ultimate Leather Apparel Inc,1
"ULTRA CARTS, INC.",1
"ULTRA, INC.",1
UMNITZA,1
UNARCO,1
"UNI-BOND LIGHTING AND SAFETY, LLC",1
"UNI-SUN, INC.",1
"Unicell Body Company, Inc.",1
"UNIFIED MARINE, INC.",1
UNION CITY BODY COMPANY LLC,10
UNION CITY TRUCK & BODY,1
UNIROYAL GOODRICH TIRE CO,84
UNITED BRAKE SYSTEMS,1
UNITED BUS CORPORATION,1
"UNITED MOTORS OF AMERICA, INC",1
UNITED SPECIALTIES INC.,2
UNITED TECHNOLOGIES AUTO.,2
UNITED TRADE REP(TOMOS),2
"United Trailers, LLC",4
UNIVERSAL MOPED IMPORTS,1
UNIVERSAL OIL PRODUCTS CO,1
"UNIVERSAL SPECIALTY VEHICLES, INC.",6
UNIVERSAL TOOL & STAMPING,1
"Universal Trailer Cargo Group, Inc.",2
UNIVERSAL TRAILER CORP. INC.,1
"UNIVERSAL TRAILERS, INC.",2
"Unruh Fire, Inc.",2
"UOP,",1
US Specs,2
Utilimaster Corporation,27
Utility Trailer Manufacturing Company,30
"Utility Truck Equipment Company, LLC",1
V/M Custom Boat Trailers,1
"Vac-Tron Equipment, LLC",15
Vactor Manufacturing,11
Valeo,1
VALEO THERMIQUE HABITACLE,1
VALLEY INDUSTRIES,1
"VAN AMERICAN COBRA, INC.",2
VAN CONVERSIONS OF LEHIGH VALLEY INC.,2
VAN CRAFT CORP,1
Van Hool N.V.,27
"VAN HOOL,  N.V. (*)",9
VAN PRODUCTS MOBILITY & COMMERCIAL,2
"Van-Con, Inc.",5
"VAN-CON, INCORPORATED",9
"Vanair Manufacturing, Inc.",1
"VANCE LEATHERS, INC.",1
"Vanco USA, LLC",1
Vanguard National Parts OEX,1
Vanguard National Trailer Corporation,7
"VANNER, INC.",1
"VANS UNLIMITED, INC.",1
VANSCO ELECTRONICS LP,1
"Vantage Mobility International, LLC",9
VAPOR,2
Vapor Bus International,4
VAPOR CORPORATION,3
VCAN SPORTS,1
VCI Emergency Vehicle Specialists,1
"VECTOR PRODUCTS, INC.",1
Vectrix Corporation,1
"Vee Tyre and Rubber Co., Ltd.",3
"VEENEMA & WIEGERS, INC.",1
Vega Helmet Corporation,2
VEHICLE ENHANCEMENT SPECIALTY PRODUCTS,1
VEHICLE IMPROVEMENT PRDCT,2
"VEHICLE IMPROVEMENT PRODUCTS, INC.",1
Vehicle Production Group LLC,1
"VEHICLE SAFETY MANUFACTURING, LLC",2
VEHICLE SAFETY SYSTEMS,1
"VEHICLE SYSTEMS, INC.",2
VEITH,1
"Velvac, Inc.",3
"VEMAR HELMETS, SRL.",1
"Veoneer Brake Systems, LLC",1
"VERITRANS SPECIALTY VEHICLES, INC.",6
Vermeer Manufacturing Company,36
"Versalift East, LLC",1
VERSCH LOCK MFG. CO. INC.,1
VERTEX AUTOMOTIVE,1
VESELY COMPANY,8
VESPA OF AMER. CORP.,3
VETTER,4
VETTER FAIRING CO.,2
Vicinity Motor Corporation,1
VICTOR,1
"VICTOR AUTOM. PROD., INC.",3
"VICTOR PRODUCTS, INC.",1
VIKING COACHWORKS,1
"Viking RV, LLC",6
Villa International,9
"VinFast Auto, LLC",1
"VINTAGE REPRODUCTIONS,INC",2
Vintage Trailers Ltd.,5
VIP DISTRIBUTING CO.,1
VIRCO MANUFACTURING CORP.,2
"VISION MOTOR SPORTS, INC.",1
"Vision Wheel, Inc.",2
"VISIONTREX, LLC",1
VISTA INTERNATIONAL CORP.,1
"Vitro Automotriz, S.A. de C.V.",1
"VLRV, LLC (Vanleigh RV)",6
VMAC Global Technology Inc,1
Vogue Tyre & Rubber Co.,3
"Volkswagen Group of America, Inc.",532
Volta Power Systems LLC,1
Volvo Bus Corporation,18
"Volvo Car USA, LLC",173
Volvo Trucks North America,225
"Voyager Industries, Inc",1
"VULCAN TRLR. MFG. CO.,INC",2
W. KIDDE PORTABLE EQUIPMENT,1
W. S. Darley & Co.,1
Wabash National Corporation,28
WABCO USA LLC,8
WAGNER,6
"WAGNER TRAILER INTERIORS, INC.",1
WAL MART STORES INC.,1
"Waldoch Crafts, Inc",1
Walker Stainless Equipment Company LLC,2
"WALKER STNLS.EQUIP.CO,INC",4
Wallace Forge Company,1
WALLSTRONG MFG. CO.,1
Walmart,1
Walser Asia Pacific Ltd.,1
WALTCO TRUCK EQUIPMENT CO,2
Walter Kidde Portable Equipment Inc.,1
WALTER MOTOR TRUCK CO.,2
"WANG'S INTERNATIONAL, INC.",2
"WARD INDUSTRIES, INC.",3
"WARN Industries, Inc.",2
WARNER & SWASEY CO.,1
WARNER ELEC. BRAKE/CLUTCH,2
"WARREN MANUFACTURING, INC.",1
WARREN OIL COMPANY,2
WARRIOR INDUSTRIES,1
WARWICH LABORATORIES CO.,1
"Water-Land Manufacturing, Inc.",1
Waterous Company,1
"Watson & Chalin Manufacturing, Inc.",2
Watson Hopper,1
"Watts Manufacturing, LLC",1
Wayfarer,3
WAYNE ENGINEERING CORPORATION,5
WAYNE WHEELED VEHICLES,8
"Webasto Charging Systems, Inc",1
"WEBASTO PRODUCT NORTH AMERICA, INC.",4
"Webb Wheel Products, Inc.",6
"WEBSTER'S ULTIMATE PERFORMANCE, LLC",1
WEEKEND WARRIOR TRAILERS INC.,4
"Weiler, Inc",1
Weis Fire & Safety,1
WELCH FIRE EQUIP. CORP.,1
"WELD WHEEL INDUSTRIES, INC.",1
WELD-IT COMPANY,4
Weldon Division of Akron Brass,5
"WELLCO MANUFACTURING, INC.",1
WELLS ALUMINUM CORP.,1
"Wells Cargo, Inc.",2
"Wells Industries, Inc.",1
WELLS MANUFACTURING CO.,1
WELLS MFG. CORP.,2
"Wells Vehicle Electronics, L.P.",1
WESCO TRAILER SALES,1
WEST COACH CORPORATION,2
WEST TEXAS CONVERSIONS,1
WEST TEXAS REHABILITATION CENTER,2
West-Mark,6
WESTERN CAPITAL CO.,1
WESTERN PRODUCTS,10
"WESTERN RECREATIONAL VEHICLES, INC.",17
"WESTERN STAR TRUCKS, INC.",39
Western Trailer Company,1
"WESTERN WORLD, INC.",2
WESTINGHOUSE ELEC. CORP.,1
Westmor Industries,1
WESTPORT AXLE CORP.,2
WESTPORT FUEL SYSTEMS INC,1
Westward Industries,1
Whammerdyne Inc.,2
"Wheego Electric Cars, Inc.",1
WHEEL,1
WHEEL CAMPER CORP.,3
"Wheel Pros, LLC",1
"WHEELER STEEL WORKS, INC.",1
WHEELHORSE CONVERSIONS,1
WHEELSPORT,1
Whelen Engineering Co Inc,1
WHITE,1
WHITE MOTOR CORPORATION,144
WICK BUILDING SYSTEMS,1
WICKED WOMAN CHOPPERS LLC,1
WICKES CORPORATION,1
"WILCO, INC.",1
"Wildcat Mfg. Co., Inc.",1
"WILDFIRE MOTORS, INC.",2
"WILKENS INDUSTRIES, INC.",1
WILLARD'S GARAGE & RHINO LINING OF BILLI,2
"Williams Controls, Inc.",3
"WILLIAMS CRAFT, INC.",2
"WILLIAMS MFG. CO., INC.",1
WILLIAMSEN BODY&EQUIP.CO.,3
Williamsen-Godwin Truck Body Company LLC,1
Wilson Manifolds Inc,1
Wilson Trailer Company,18
Wilwood Engineering,1
Winkelmann Flowform Technology LP,1
Winnebago Industries Inc.,13
"Winnebago Industries, Inc.",218
"Winnebago of Indiana, LLC",9
Winnebago Towable,15
WINTER WELDING & MACHINE,1
WIX CORPORATION,1
WIX FILTERATION PRODUCTS DIVISION,1
"Wood Manufacturing Co., Inc.",2
Woodstock Safety Mirror Co.,1
WORKHORSE CUSTOM CHASSIS,8
Workhorse Group Inc.,1
"WORLD TRANS, INC.",3
WORLDPAC,1
"WORLDWIDE TRADING CO, INC",1
"WORTHINGTON IND., INC.",1
WP Dynamics,1
WSB Inc,2
"WTM, Inc.",1
WU'S INTERNATIONAL TRADE,1
XENON-VISION,1
XEQUIPPED.COM,1
XL Hybrids INC,2
"Xl Specialized Trailers, Inc.",2
"Xos, Inc.",3
xperion E&E USA LLC,1
XPLORER MTR HM/FRANK DIV.,1
XPORTATION SAFETY CONCEPTS,1
Xtreme Outdoors,3
"Yakima Products, Inc.",12
YAMAHA INTERNATIONAL CORP,8
"Yamaha Motor Corporation, USA",83
"YELLOWSTONE, INC.",2
"Yokohama Off-Highway Tires America, Inc",4
Yokohama Tire Corporation,22
YOUNG FIRE EQUIP. CORP.,1
YOUNG TRAILER & MFG. CO.,1
"YOUR TRUCK SHOP, INC.",1
YSN Imports Inc.,1
"YUGO OF AMERICA,INC.",2
Z-TECH OF PEORIA,1
"ZACKLIFT INTERNATIONAL, INC.",1
ZAMP SPORTS CORP.,1
Zamzow Mfg Co Inc,1
ZEMARC CORPORATION,1
"ZEMCO, INC.",2
Zero Motorcycles Inc.,18
ZF LENKSYSTEME,2
"ZF North America, Inc.",14
"ZF SALES & SERVICE NORTH AMERICA, LLC",2
"ZF TRADING NORTH AMERICA, LLC",1
ZH Brothers International Inc.,1
"Zhaoqing Junhong Co., Ltd.",2
Zhejiang Jixiang Motorcycle Fittings Co.,1
"Zhejiang Xingyue Vehicle Co., Ltd.",1
Ziamatic Corp,1
ZIMMER HOMES CORP.,3
ZIMMER MOTOR CARS CORP.,2
"ZIMMERMAN INDUSTRIES, INC.",1
ZTECH AUTOMOTIVE IMPROVEMENTS,1
