Manufacturer,#_recalls
Capacity of Texas,16
"Capco USA, Inc.",1
"Capri Campers, LLC",1
CAR WEAR USA,1
CARDINAL MFG. CO.,1
"CARDONE INDUSTRIES, INC.",4
Carefree Of Colorado,5
CAREYS TRUCK SALES & SERV,1
CARFILO,1
CARGILE INC. (CUTTER),1
"Cargo Craft, Inc.",1
"Cargo South, Inc.",2
"CARGOTEC, INC.",1
CARLEN CORPORATION,1
Carli Suspension,1
CARLISLE BRAKE AND FRICTION COMPANY,1
CARLISLE TIRE & RUBBER CO,3
CARLISLE TIRE AND WHEEL,3
Carlisle Transportation Products,2
"Carparts.com, Inc.",1
"CARPENTER BDY WRKS, INC.",10
"CARPENTER INDUSTRIES, INC.",15
CARRARO NORTH AMERICA,1
Carriage Industries,1
"Carriage, Inc.",13
Carrier Corporation,16
CARRIER TRANSPORT AIR CONDITIONING CO.,1
CARROL SMITH CONSULTING,1
Carry-On Trailer Corp.,2
"Carson Trailer, Inc.",3
"CASAL MOTOR CORP.,USA",1
"CASCADE CAMPER, LTD.",1
CASTROL (U.K.) LTD.,1
CASTROL INDUSTRIAL NA INC.,1
"Caterpillar, Inc.",32
"CATZ USA, INC.",1
CAVALIER MFG. CO.,1
CC TOPS,1
CEAT,1
CEC INDUSTRIES LTD,1
CEDAR CREEK,1
Central Florida Custom Trailers,1
Central Purchasing,1
"CENTURY INDUSTRIES, LLC",2
CENTURY MFG. CO.,1
CENTURY PRODUCTS,21
CENTURY WRECKER CORP.,3
"Cequent Consumer Products, Inc.",1
CEQUENT ELECTRICAL PRODUCTS,2
"Cequent Performance Products, Inc.",7
CEQUENT TOWING PRODUCTS,1
"CFMOTO POWERSPORTS, INC.",1
Chalet RV,2
"CHALLENGER DOOR, LLC",1
"CHALLENGER LIFTS, INC.",1
CHALMERS SUSPENSIONS,1
CHALMERS SUSPENSIOUS INTL,2
"Champion Bus, Inc.",51
CHAMPION HOME BLDR. CO.,14
CHAMPION MOTORCYCLE ACCESSORIES,1
"CHANCE COACH, INC.",33
"CHANGZHOU NANXIASHU TOOLS CO., LTD",1
"CHARIOT EAGLE WEST, INC.",1
"Charles Machine Works, Inc.",19
"Charmac Trailers, Inc.",2
CHECKER MOTORS CORP.,12
Cheetah Chassis Corporation,6
"Chem-Pak, Inc.",1
Cheng Shin Rubber/Maxxis International,1
"Chicago Scooter Company, LLC",1
"Chicco USA, Inc.",1
CHICO OF FT. LAUDERDALE,1
CHIEF INDUSTRIES,1
"China Manufacturers Alliance, LLC",1
"CHINADA INDUSTRIES, INC.",1
"CHINEX APPAREL, INC.",1
CHINOOK MOBIL LODGE CO.,5
"Chinook Motor Coach, LLC",2
Christianson Industries Inc,1
"Chrysler (FCA US, LLC)",1353
CHRYSLER CORP-OVERSEAS,6
Chrysler Group Global Electric Motorcars,5
CHTC Bus Group,1
"CHUCKS TOPS & TRIM, INC.",1
"Cimarron Trailers, Inc.",1
CIMATTI LIMITED,1
"Circle D Corporation, Inc.",1
CIRCLE W TRAILERS,1
CITROEN CARS CORPORATION,2
CJay Trailers Inc.,1
CK MOTORING,1
"CK MOTORSPORT, INC.",1
"CLARCOR, INC.",2
CLARK EQUIP. COMPANY,25
"CLARK TRAILER SERVICE, INC.",3
CLASSIC LIMOUSINE,2
"Classic Manufacturing, Inc.",1
"CLASSIC MOTORWORKS LIMITED, USA",1
"Classic Trailers, Inc.",4
"CLEAN AIR POWER, INC.",1
Cleanfuel USA,2
"Clek, Inc.",4
CLEMENT INDUSTRIES,1
"CLENET COACH WORKS, INC.",1
"CLORE AUTOMOTIVE, LLC",1
CLOUGH EQUIP. COMPANY,2
"Club Car, Inc.",3
CMI CORPORATION,1
"CMSI, INC.",1
CNG. CYLINDER CORP.,1
COACH & EQUIP SALES CORP.,7
Coach and Equipment Mfg. Corp.,20
COACH AUTO RESTYLER,1
COACH AUTOMOTIVE ACCESSORIES,1
COACH AUTOMOTIVE RESTYLING,1
COACH AUTOMOTIVE RESTYLING-CHATSWORTH,1
"Coach House, Inc.",7
"COACHMEN INDUSTRIES, INC.",52
"Coachmen RV Company, LLC",50
"COAST MACHINERY, INC.",1
"COBRA INDUSTRIES, INC.",8
CODA Automotive,2
COFFMAN AUTO GLASS,1
"COLEMAN CO., INC.",13
COLLIER-KEYWORTH,1
COLLINS AMBULANCE CORP.,3
Collins Bus Corporation,62
"COLLINS INDUSTRIES,INC.",2
COLONIAL EQUIPMENT COMPANY,2
COLT INDUSTRIES,2
COLUMBIA BODY & EQUIP. CO,1
