Name,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
"Central and Northeast Severe Weather, (May 2018)",Severe Storm,43221,43224,1695.8,0
"Central and Eastern Severe Weather, (May 2018)",Severe Storm,43233,43235,1671.5,5
"Texas Hail Storm, (June 2018)",Severe Storm,43257,43257,1573,0
"Colorado Hail Storm, (June 2018)",Severe Storm,43264,43264,1155.6,0
"Colorado Hail Storm, (June 2018)",Severe Storm,43269,43270,2689.8,0
"Central and Eastern Tornadoes and Severe Weather, (July 2018)",Severe Storm,43300,43303,1918.1,0
"Mountain West Severe Weather, (July 2018)",Severe Storm,43307,43310,1029.7,0
"Rockies and Plains Hail Storms, (August 2018)",Severe Storm,43318,43319,1240.4,0
"Hurricane Florence, (September 2018)",Tropical Cyclone,43356,43359,29040,53
"Hurricane Michael, (October 2018)",Tropical Cyclone,43383,43384,30219.8,49
"Southwest/Southern Plains Drought, (Summer-Fall 2018)",Drought,43252,43464,3677.8,0
"Western Wildfires, California Firestorm, (Summer-Fall 2018)",Wildfire,43252,43465,29040,106
"Southeast, Ohio Valley and Northeast Severe Weather, (February 2019)",Severe Storm,43519,43521,1497.4,2
"Texas Hail Storm, (March 2019)",Severe Storm,43546,43548,1842,0
"Missouri River and North Central Flooding, (March 2019)",Flooding,43538,43555,12979.8,3
"Southern and Eastern Tornadoes and Severe Weather, (April 2019)",Severe Storm,43568,43569,1489.9,7
"South and Southeast Severe Weather, (May 2019)",Severe Storm,43592,43598,1801.9,0
"Central Severe Weather, (May 2019)",Severe Storm,43601,43603,1157.9,0
"Rockies, Central and Northeast Tornadoes and Severe Weather, (May 2019)",Severe Storm,43611,43614,5352.7,3
"Arkansas River Flooding, (June 2019)",Flooding,43605,43630,3599.8,5
"Colorado Hail Storms, (July 2019)",Severe Storm,43650,43651,1199.5,0
"Mississippi River, Midwest and Southern Flooding, (July 2019)",Flooding,43539,43677,7402.8,4
"Hurricane Dorian, (September 2019)",Tropical Cyclone,43705,43714,1915.9,10
"Tropical Storm Imelda, (September 2019)",Tropical Cyclone,43725,43729,5950,5
"Texas Tornadoes and Central Severe Weather, (October 2019)",Severe Storm,43758,43758,2044.4,2
"California and Alaska Wildfires, (Summer-Fall 2019)",Wildfire,43617,43799,5355,3
"Southeast Tornadoes and Northern Storms and Flooding, (January 2020)",Severe Storm,43840,43842,1355.8,10
"South, East and Northeast Severe Weather, (February 2020)",Severe Storm,43866,43868,1482.2,3
"Tennessee Tornadoes and Southeast Severe Weather, (March 2020)",Severe Storm,43892,43894,2756.4,25
"Midwest and Ohio Valley Severe Weather, (March 2020)",Severe Storm,43917,43918,3018.3,0
"North Central and Ohio Valley Hail Storms and Severe Weather, (April 2020)",Severe Storm,43928,43929,3428.7,0
"Southeast and Eastern Tornado Outbreak, (April 2020)",Severe Storm,43933,43934,4098.4,35
"Southern Severe Weather, (April 2020)",Severe Storm,43942,43944,1606.6,3
"Central, Southern and Eastern Severe Weather, (April 2020)",Severe Storm,43948,43951,1222.1,1
"Central and Eastern Severe Weather, (May 2020)",Severe Storm,43954,43956,2514.4,2
"South, Central and Eastern Severe Weather, (May 2020)",Severe Storm,43971,43974,1885.1,2
"South Texas Hail Storms, (May 2020)",Severe Storm,43978,43978,1666,0
"Central Severe Weather, (July 2020)",Severe Storm,44022,44023,1411.3,0
"Hurricane Hanna, (July 2020)",Tropical Cyclone,44037,44038,1257.8,0
"Hurricane Isaias, (August 2020)",Tropical Cyclone,44046,44047,5565.9,16
"Central Severe Weather - Derecho, (August 2020)",Severe Storm,44053,44053,13011.9,4
"Hurricane Laura, (August 2020)",Tropical Cyclone,44070,44071,27161.7,42
"Hurricane Sally, (September 2020)",Tropical Cyclone,44089,44091,8510.6,5
"Hurricane Delta, (October 2020)",Tropical Cyclone,44113,44115,3354.6,5
"Hurricane Zeta, (October 2020)",Tropical Cyclone,44132,44133,5091.9,6
"Tropical Storm Eta, (November 2020)",Tropical Cyclone,44143,44147,1708.3,12
"Western/Central Drought and Heat Wave, (Summer-Fall 2020)",Drought,43983,44195,5259.3,45
"Western Wildfires - California, Oregon, Washington Firestorms, (Fall 2020)",Wildfire,44044,44195,19246.5,46
,,,,,
,,,,,
"California Flooding and Severe Weather, (January 2021)",Flooding,44220,44225,1281.2,2
"Northwest, Central, Eastern Winter Storm and Cold Wave, (February 2021)",Winter Storm,44237,44246,26315.8,262
"Southeast Tornadoes and Severe Weather, (March 2021)",Severe Storm,44279,44280,1928.8,6
