Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2012,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),265353.6,0,25145.94,290499.54,51150.16,13175.97,13627.93,77954.06,368453.6
Fiscal,2011,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,83882.46,26372.46,289719.1,44081.39,15231.67,4350.53,63663.59,353382.69
Fiscal,2011,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff's Lieutenant,144204.44,118089.32,27391.55,289685.31,42935.04,13676.61,4958.88,61570.53,351255.84
Fiscal,1993,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),213680.14,56312.52,19275.08,289267.74,40089.16,16771.81,4837.73,61698.7,350966.44
Fiscal,2011,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,50180.86,31513.84,289132.46,51259.74,15231.67,4904.95,71396.36,360528.82
Fiscal,1992,4,Community Health,DPH Public Health,Administrative & Mgmt (Unrep),"Administrator, Department Of Public Heal",289017.06,0,0,289017.06,63410.38,12501.45,20339.14,96250.97,385268.03
Fiscal,1999,1,Public Protection,POL Police,Police Services,Sergeant 3,130900.26,26707.8,131272.25,288880.31,24943.63,11761.21,372.64,37077.48,325957.79
Fiscal,1999,1,Public Protection,POL Police,Police Services,Sergeant 3,124714.5,38831.99,125253.35,288799.84,26546.23,11269.85,351.23,38167.31,326967.15
Fiscal,2003,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),261730.83,0,26864.73,288595.56,61784.18,12501.45,13633.52,87919.15,376514.71
Fiscal,1993,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",178553.28,80578.42,29380.31,288512.01,36577.27,15752.82,4906.5,57236.59,345748.6
Fiscal,2002,1,Public Protection,POL Police,Police Services,Deputy Chief 3,273397.06,0,14767.51,288164.57,50861.02,13157.11,13114.44,77132.57,365297.14
Fiscal,1994,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,96318.9,170589.85,21157.99,288066.74,27630.61,12501.45,4818.54,44950.6,333017.34
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",151527.91,104554.09,31934.16,288016.16,32491.13,15863.74,615.24,48970.11,336986.27
Fiscal,2004,1,Public Protection,FIR Fire Department,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",171386.38,105757.58,10772.86,287916.82,32064.64,13201.12,4942.04,50207.8,338124.62
Fiscal,2010,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),261730.83,0,26162.77,287893.6,58359.45,12516.72,10308.5,81184.67,369078.27
Fiscal,2009,1,Public Protection,POL Police,Police Services,Sergeant 3,147741.48,117251.13,22853.86,287846.47,26151.74,13712.8,4905.69,44770.23,332616.7
Fiscal,2010,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,92770.6,172612.29,22421.95,287804.84,21412.01,12468.77,4664.16,38544.94,326349.78
Fiscal,2012,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",151020.48,101666.53,34887.65,287574.66,30811.39,15992.21,764.48,47568.08,335142.74
Fiscal,2015,6,General Administration & Finance,ADM Gen Svcs Agency-City Admin,Management,Dept Head V,287295.57,0,0,287295.57,52086.71,13175.97,28285.58,93548.26,380843.83
Fiscal,2005,3,Human Welfare & Neighborhood Development,HSA Human Services Agency,Management,Dept Head V,287259.06,0,0,287259.06,52080.09,13175.97,20178.35,85434.41,372693.47
Fiscal,1994,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179464.2,80185.31,27498.68,287148.19,41987.77,15250.26,4747.19,61985.22,349133.41
Fiscal,1999,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",149778.65,108095.13,28920.9,286794.68,29560.52,15715.71,604.22,45880.45,332675.13
Fiscal,2006,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179737.92,80942.16,26089.86,286769.94,36362.16,15713.75,4794.37,56870.28,343640.22
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Lieut,Fire Prev",151606.07,125857.82,9096.35,286560.24,27887.38,13712.8,4908.62,46508.8,333069.04
Fiscal,2003,6,General Administration & Finance,MYR Mayor,Administrative & Mgmt (Unrep),Mayor,286416.44,0,0,286416.44,62839.67,12501.45,20338.74,95679.86,382096.3
Fiscal,2000,4,Community Health,DPH Public Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",286106.59,0,0,286106.59,50783.84,13765.55,20963.15,85512.54,371619.13
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",173160.03,101790.66,10389.6,285340.29,31680.74,13712.8,4883.91,50277.45,335617.74
Fiscal,1998,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",134905.11,126587.9,23735.6,285228.61,27144.93,16771.8,4881.61,48798.34,334026.95
Fiscal,2013,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",184897.12,76238.22,24044.89,285180.23,35774.52,16771.81,4816.48,57362.81,342543.04
Fiscal,1994,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),261730.81,0,23377,285107.81,60660.84,12501.45,13821.12,86983.41,372091.22
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),209501.3,40320.96,35264.64,285086.9,43078.14,15992.21,4829.39,63899.74,348986.64
Fiscal,1992,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,68445.11,35297.83,285009.52,38223.6,15992.21,4881.5,59097.31,344106.83
Fiscal,2008,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",177771.14,76464.59,30622,284857.73,44810.59,15087.97,4789.23,64687.79,349545.52
Fiscal,2017,6,General Administration & Finance,RET Retirement System,Management,Dept Head V,284712.2,0,0,284712.2,51618.32,13175.97,20216.64,85010.93,369723.13
Fiscal,1995,1,Public Protection,POL Police,Police Services,Deputy Chief 3,277808.41,0,6379.36,284187.77,49050.77,13765.54,14170.63,76986.94,361174.71
Fiscal,2007,1,Public Protection,POL Police,Police Services,Deputy Chief 3,277808.4,0,6379.36,284187.76,49050.77,13765.55,21472.54,84288.86,368476.62
Fiscal,2017,4,Community Health,DPH Public Health,Management,Manager VIII,284024.31,0,0,284024.31,50414.37,13765.55,20858.8,85038.72,369063.03
Fiscal,1994,1,Public Protection,POL Police,Police Services,Deputy Chief 3,269665.2,0,14358.12,284023.32,60951.39,12501.45,10235.48,83688.32,367711.64
Fiscal,1993,1,Public Protection,SHF Sheriff,Correction & Detention,Senior Deputy Sheriff,117186.23,138204.05,28445.49,283835.77,38462.61,13857.83,4776.13,57096.57,340932.34
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),207780.24,40667.91,35322.62,283770.77,40477.66,15715.72,600.21,56793.59,340564.36
Fiscal,1992,6,General Administration & Finance,CON Controller,Management,Controller,283712.21,0,0,283712.21,51437.02,13175.97,20242.69,84855.68,368567.89
Fiscal,2016,4,Community Health,DPH Public Health,Nursing,Anesthetist,243267.86,6390.71,33911.18,283569.75,62644.67,12539.78,13248.04,88432.49,372002.24
Fiscal,2011,4,Community Health,DPH Public Health,Nursing,Anesthetist,249316.21,14696.45,19453.22,283465.88,48682.56,12234.29,12570.65,73487.5,356953.38
Fiscal,1996,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179556.53,66032.21,37740.41,283329.15,36819.1,15841.34,4864.95,57525.39,340854.54
Fiscal,2013,1,Public Protection,POL Police,Police Services,Sergeant 3,97959.54,8609.6,176311.72,282880.86,20951.25,8392.44,296.94,29640.63,312521.49
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,109597.32,153219.72,19908.2,282725.24,22428.58,15257.36,4589.08,42275.02,325000.26
Fiscal,2012,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),261730.81,0,20938.47,282669.28,57438.28,12516.72,13505.17,83460.17,366129.45
Fiscal,2016,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",184897.15,66173.57,31545.93,282616.65,35952.13,16771.81,4789.54,57513.48,340130.13
Fiscal,1992,1,Public Protection,FIR Fire Department,Management,Dep Chf Of Dept (Fire Dept),260728.04,0,21530.67,282258.71,49869.04,12828.16,6189.14,68886.34,351145.05
Fiscal,2005,1,Public Protection,POL Police,Police Services,Deputy Chief 3,102182.4,0,179315.18,281497.58,19100.17,5063.19,6293.35,30456.71,311954.29
Fiscal,2004,4,Community Health,DPH Public Health,Management,Manager VIII,281376.98,0,0,281376.98,49944.48,13765.55,33719.18,97429.21,378806.19
