museum,location,#_objects,latitude,longitude
Warrington Museum and Art Gallery,"Bold St, Warrington WA1 1DR, UK",2,53.38724013,-2.595734477
Royal Collection Trust,"Windsor SL4 1NJ, United Kingdom",2,51.48472001,-0.606340003
"Phoebe A. Hearst Museum of Anthropology, University of California at Berkeley","Kroeber Hall, 103, Berkeley, CA 94720, United States",1,37.872588,-122.255713
Hood Museum of Art,"Hood Museum of Art
Dartmouth
6 E Wheelock St, Hanover, NH 03755, USA",1,43.70275,-72.28669
LACMA The Los Angeles County Museum of Art,"5905 Wilshire Blvd, Los Angeles, CA 90036, United States",1,34.063421,-118.359243
Newark Museum of Art,"49 Washington St, Newark, NJ 07102, United States",1,40.74313398,-74.17263198
"Allen Memorial Art Museum, Oberlin College","87 N Main St, Oberlin, OH 44074, United States",1,41.29358899,-82.21644296
Carnegie Museum of Art,"4400 Forbes Ave, Pittsburgh, PA 15213, USA",1,40.44365998,-79.94919599
"RISD Museum, Museum of Art at Rhode Island School of Design","20 N Main St, Providence, RI 02903, United States",1,41.82645801,-71.40774999
Institut für Ethnologie und Ethnologische Sammlung der Universität Göttingen,"Theaterpl. 15, 37073 Göttingen, Germany",1,51.53504002,9.940770031
"Landesmuseum Hannover, Das WeltenMuseum","Willy-Brandt-Allee 5, 30169 Hannover, Germany",1,52.3655,9.739980032
Canadian Museum of History / Musée canadien de l’histoire,"100 Laurier St, Gatineau, Quebec K1A 0M8, Canada",1,45.42975579,-75.70873971
"Institut für Ethnologie und Afrikastudien, Johannes Gutenberg-Universität Mainz","Forum universitatis 6, 55099 Mainz, Germany",1,49.97706998,8.19519997
Museum of Anthropology at UBC,"6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",1,49.26475603,-123.258961
Hunt Museum,"Rutland St, Limerick, Ireland",1,52.66615758,-8.624016224
Gustavianum - Uppsala University Museum,"Akademigatan 3, 753 10 Uppsala, Sweden",1,59.85795001,17.63183004
Musée d'Ethnographie de Neuchâtel,"Rue de Saint-Nicolas 4, 2000 Neuchâtel, Switzerland",1,46.99065534,6.920313
"Fleming Museum of Art, University of Vermont","61 Colchester Ave, Burlington, VT 05405, United States",1,44.47708699,-73.19567297
"Michael C. Carlos Museum, Emory University","571 South Kilgo Cir NE, Atlanta, GA 30322, United States",1,33.79048302,-84.32417402
Museum Folkwang,"Museumsplatz 1, 45128 Essen, Germany",1,51.44271,7.005050018
National Gallery of Art,"Constitution Ave. NW, Washington, DC 20565, United States",1,38.89220796,-77.01877406
Musée national Picasso Paris,"5 Rue de Thorigny, 75003 Paris",1,48.859604,2.362517026
Museu Nacional de Etnologia,"Av. da Ilha da Madeira, 1400-203 Lisboa, Portugal",1,38.70343184,-9.206869172
Barber Institute of Fine Arts,"Barber Institute of Fine Arts, University of Birmingham, Birmingham B15 2TS, United Kingdom",1,52.45037,-1.92774
"VMFA, Virginia Museum of Fine Arts","200 N Arthur Ashe Blvd, Richmond, VA 23220, United States",1,37.55599698,-77.47490997
Muzeum Narodowe w Szczecinie,"Staromłyńska 27, 70-561 Szczecin, Poland",1,53.42793694,14.55491259
"National Archives, John F. Kennedy Presidential Library and Museum","Columbia Point, Dorchester, MA 02125",1,42.31766998,-71.05223041
"Musée de la musique, Cité de la Musique - Philharmonie de Paris","221 Av. Jean Jaurès, 75019 Paris, France",1,48.88931101,2.393824022
Toledo Museum of Art,"2445 Monroe Street
Toledo, OH 43620",1,41.65830001,-83.55912796
Northampton Museums and Art Gallery,"4-6 Guildhall Rd, Northampton NN1 1DP, United Kingdom",1,52.23669001,-0.894660037
Al Thani Collection,"2 Pl. de la Concorde, 75008 Paris, France",1,48.86672698,2.322939021
Speed Art Museum,"2035 S 3rd St, Louisville, KY 40208",1,38.21788398,-85.76094002
"Niedersächsische Landesmuseen Oldenburg, Landesmuseum Natur und Mensch Oldenburg","Damm 38 – 46, 26135 Oldenburg, GERMANY",1,53.13445999,8.218710035
Hull Museums,"Dock Office Chambers, New Cross St, Hull HU1 3RA, United Kingdom",1,53.74350001,-0.338949999
Great North Museum: Hancock,"Hancock, Barras Bridge, Newcastle upon Tyne NE2 4PT, United Kingdom",1,54.98013,-1.613570005
"Museums and Special Collections, University of Aberdeen","King's College, Aberdeen AB24 3FX, United Kingdom",1,57.16383,-2.10116
