Electricity Sales to Ultimate Customers Residential Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711290&sdid=TOTAL.ESRCPUS.M
13:21:40 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESRCPUS.M Million Kilowatthours
Sep 1986,68662.42
Aug 1986,80564.736
Jul 1986,80505.497
Jun 1986,64097.877
May 1986,54360.148
Apr 1986,56745.725
Mar 1986,65431.438
Feb 1986,71072.217
Jan 1986,82899.671
Dec 1985,72461.691
Nov 1985,57006.611
Oct 1985,57730.433
Sep 1985,71329.27
Aug 1985,73968.616
Jul 1985,71231.586
Jun 1985,60878.733
May 1985,53039.269
Apr 1985,56234.704
Mar 1985,64219.968
Feb 1985,78302.711
Jan 1985,77530.256
Dec 1984,67125.357
Nov 1984,56720.552
Oct 1984,56140.248
Sep 1984,67667.176
Aug 1984,73367.333
Jul 1984,71242.367
Jun 1984,60143.169
May 1984,53687.239
Apr 1984,56550.063
Mar 1984,63855.255
Feb 1984,70036.462
Jan 1984,83556.439
Dec 1983,66326.164
Nov 1983,53703.558
Oct 1983,55373.796
Sep 1983,73197.283
Aug 1983,78374.347
Jul 1983,69964.829
Jun 1983,54138.011
May 1983,49669.169
Apr 1983,56283.958
Mar 1983,58911.75
Feb 1983,65038.686
Jan 1983,69966.683
Dec 1982,62102.084
Nov 1982,52135.61
Oct 1982,52637.846
Sep 1982,63052.992
Aug 1982,69905.832
Jul 1982,65703.809
Jun 1982,54082.562
May 1982,49091.65
Apr 1982,54917.765
Mar 1982,60498.091
Feb 1982,69127.77
Jan 1982,76263.757
Dec 1981,62391.279
Nov 1981,51964.999
Oct 1981,52988.676
Sep 1981,61098.018
Aug 1981,70298.901
Jul 1981,69989.93
Jun 1981,56165.248
May 1981,48347.735
Apr 1981,50913.727
Mar 1981,57660.334
Feb 1981,66359.158
Jan 1981,74087.02
Dec 1980,60775
Nov 1980,50539
Oct 1980,54014
Sep 1980,67969
Aug 1980,75020
Jul 1980,68611
Jun 1980,52267
May 1980,45699
Apr 1980,51749
Mar 1980,60497
Feb 1980,64514
Jan 1980,65841
Dec 1979,58120
Nov 1979,49617
Oct 1979,49505
Sep 1979,59703
Aug 1979,64808
Jul 1979,58606
Jun 1979,49556
May 1979,45730
Apr 1979,50079
Mar 1979,59314
Feb 1979,67842
Jan 1979,69939
Dec 1978,57058
Nov 1978,47220
Oct 1978,51108
Sep 1978,61984
Aug 1978,63843
Jul 1978,61747
Jun 1978,50832
May 1978,44012
Apr 1978,47396
Mar 1978,58781
Feb 1978,64579
Jan 1978,65906
Dec 1977,55286.542
Nov 1977,45241.402
Oct 1977,49021.329
Sep 1977,57629.729
Aug 1977,62692.036
Jul 1977,61377.496
Jun 1977,48728.714
May 1977,41824.999
Apr 1977,44667.736
Mar 1977,51172.849
Feb 1977,61838.613
Jan 1977,65757.526
Dec 1976,57111.756
Nov 1976,46986.381
Oct 1976,44995.879
Sep 1976,53771.204
Aug 1976,57706.13
Jul 1976,54029.328
Jun 1976,44382.377
May 1976,41281.445
Apr 1976,43811.363
Mar 1976,47295.435
Feb 1976,54588.492
Jan 1976,60492.292
Dec 1975,50512.748
Nov 1975,42288.574
Oct 1975,43254.661
Sep 1975,54719.614
Aug 1975,57659.412
Jul 1975,54325.358
Jun 1975,46034.082
May 1975,41293.942
Apr 1975,45007.466
Mar 1975,48238.659
Feb 1975,50494.721
Jan 1975,54311.156
Dec 1974,50511.729
Nov 1974,42671.011
Oct 1974,44164.147
Sep 1974,52947.797
Aug 1974,56699.323
Jul 1974,53540.458
Jun 1974,46597.044
May 1974,41105.123
Apr 1974,43193.401
Mar 1974,46095.814
Feb 1974,47779.428
Jan 1974,52878.418
Dec 1973,46398.725
Nov 1973,43181.173
Oct 1973,47207.37
Sep 1973,56209.577
Aug 1973,56742.07
Jul 1973,54122.893
Jun 1973,44967.106
May 1973,39824.999
Apr 1973,41820.951
Mar 1973,46314.971
Feb 1973,49601.308
Jan 1973,52840.231
