Electricity Net Generation Total (including from sources not shown) All Sectors Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711280&sdid=TOTAL.ELETPUS.M
13:20:03 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ELETPUS.M Million Kilowatthours
Jan 2010,360957.167
Dec 2009,350507.295
Nov 2009,296634.67
Oct 2009,307040.341
Sep 2009,327400.612
Aug 2009,381221.417
Jul 2009,372542.226
Jun 2009,347658.241
May 2009,311305.872
Apr 2009,289537.255
Mar 2009,310602.964
Feb 2009,300887.398
Jan 2009,354992.636
Dec 2008,343898.254
Nov 2008,310046.241
Oct 2008,318547.343
Sep 2008,338056.13
Aug 2008,388986.719
Jul 2008,402900.336
Jun 2008,373109.027
May 2008,325244.802
Apr 2008,305865.031
Mar 2008,324629.85
Feb 2008,325105.597
Jan 2008,362998.429
Dec 2007,346290.331
Nov 2007,314102.543
Oct 2007,332615.416
Sep 2007,355393.912
Aug 2007,421796.659
Jul 2007,393226.432
Jun 2007,362754.877
May 2007,330202.758
Apr 2007,303129.064
Mar 2007,320471.243
Feb 2007,323230.395
Jan 2007,353531.095
Dec 2006,336283.246
Nov 2006,309158.826
Oct 2006,321567.091
Sep 2006,332055.321
Aug 2006,407762.536
Jul 2006,410420.793
Jun 2006,364259.798
May 2006,330615.57
Apr 2006,297858.078
Mar 2006,318729.8
Feb 2006,307333.43
Jan 2006,328657.739
Dec 2005,348101.071
Nov 2005,306115.236
Oct 2005,316397.924
Sep 2005,350217.801
Aug 2005,404940.681
Jul 2005,402273.846
Jun 2005,363671.636
May 2005,315062.11
Apr 2005,289562.4
Mar 2005,317458.276
Feb 2005,298500.316
Jan 2005,343121.453
Dec 2004,341947.963
Nov 2004,302101.256
Oct 2004,312450.223
Sep 2004,335622.198
Aug 2004,368439.037
Jul 2004,377331.697
Jun 2004,345085.079
May 2004,327380.264
Apr 2004,290559.914
Mar 2004,308812.096
Feb 2004,314279.91
Jan 2004,346545.627
Dec 2003,331680.431
Nov 2003,297866.713
Oct 2003,306740.934
Sep 2003,323135.536
Aug 2003,381816.318
Jul 2003,374396.049
Jun 2003,328693.699
May 2003,307544.887
Apr 2003,285755.7
Mar 2003,304317.263
Feb 2003,299248.775
Jan 2003,341988.899
Dec 2002,324833.704
Nov 2002,296289.561
Oct 2002,307059.462
Sep 2002,331279.434
Aug 2002,374585.823
Jul 2002,381542.109
Jun 2002,341023.145
May 2002,307674.569
Apr 2002,289848.252
Mar 2002,302549.007
Feb 2002,281825.708
Jan 2002,319941.472
Dec 2001,305496.328
Nov 2001,278933.942
Oct 2001,294733.613
Sep 2001,306928.866
Aug 2001,370532.828
Jul 2001,357613.7
Jun 2001,327693.978
May 2001,300491.621
Apr 2001,278078.871
Mar 2001,300706.544
Feb 2001,282940.198
Jan 2001,332493.16
Dec 2000,319010.798
Nov 2000,284670.275
Oct 2000,289451.903
Sep 2000,312446.647
Aug 2000,368669.365
Jul 2000,356527.917
Jun 2000,339053.66
May 2000,322953.681
Apr 2000,285577.749
Mar 2000,301579.821
Feb 2000,294169.282
Jan 2000,327993.944
Dec 1999,295174.237
Nov 1999,271095.672
Oct 1999,283934.839
Sep 1999,305515.654
Aug 1999,364031.383
Jul 1999,376538.308
Jun 1999,328923.833
May 1999,300098.19
Apr 1999,280719.013
Mar 1999,298144.718
Feb 1999,274820.273
Jan 1999,315813.69
Dec 1998,297986.181
Nov 1998,267136.408
Oct 1998,284445.547
Sep 1998,318924.466
Aug 1998,357365.61
Jul 1998,361936.46
Jun 1998,328903.002
May 1998,299639.908
Apr 1998,261229.604
Mar 1998,286877.989
Feb 1998,260589.918
Jan 1998,295260.404
Dec 1997,296356.097
Nov 1997,271120.816
Oct 1997,284970.629
Sep 1997,301056.672
Aug 1997,332898.63
Jul 1997,344516.455
Jun 1997,299091.561
May 1997,272913.783
Apr 1997,258284.482
Mar 1997,272258.227
Feb 1997,258131.029
Jan 1997,300573.901
Dec 1996,284249.613
Nov 1996,269122.035
Oct 1996,271446.494
Sep 1996,283151.263
Aug 1996,329286.33
Jul 1996,327708.462
Jun 1996,302716.899
May 1996,282266.414
Apr 1996,251612.875
Mar 1996,275019.018
Feb 1996,270685.247
Jan 1996,296922.971
Dec 1995,285553.882
Nov 1995,261478.399
Oct 1995,263978.44
Sep 1995,277575.357
Aug 1995,345780.079
Jul 1995,330416.095
Jun 1995,286258.135
May 1995,264288.242
Apr 1995,244735.923
Mar 1995,261342.562
Feb 1995,252307.149
Jan 1995,279773.101
Dec 1994,269519.769
Nov 1994,251868.348
Oct 1994,256528.49
Sep 1994,266262.327
Aug 1994,307604.584
Jul 1994,311256.823
Jun 1994,294161.782
May 1994,252744.936
Apr 1994,240636.581
Mar 1994,257998.052
Feb 1994,249172.29
Jan 1994,289768.406
Dec 1993,272164.57
Nov 1993,252102.138
Oct 1993,250552.792
Sep 1993,264032.481
Aug 1993,311450.19
Jul 1993,312224.835
Jun 1993,275359.6
May 1993,244325.583
Apr 1993,234695.127
Mar 1993,261247.551
Feb 1993,248015.328
Jan 1993,271020.902
